KNESER GRAPH (9,2)
Metric dimension: 6 BIGSINDEX : 510

{3, 4, 8, 12, 13, 14}
{3, 4, 8, 18, 19, 20}
{3, 4, 12, 13, 20, 21}
{3, 4, 12, 14, 19, 21}
{3, 4, 12, 15, 19, 20}
{3, 4, 13, 14, 18, 21}
{3, 4, 13, 15, 18, 20}
{3, 4, 14, 15, 18, 19}
{3, 5, 6, 9, 11, 14}
{3, 5, 6, 9, 11, 15}
{3, 5, 6, 9, 14, 15}
{3, 5, 6, 9, 17, 20}
{3, 5, 6, 9, 17, 21}
{3, 5, 6, 9, 20, 21}
{3, 5, 6, 11, 14, 15}
{3, 5, 6, 17, 20, 21}
{3, 5, 7, 9, 11, 13}
{3, 5, 7, 9, 11, 15}
{3, 5, 7, 9, 13, 15}
{3, 5, 7, 9, 17, 19}
{3, 5, 7, 9, 17, 21}
{3, 5, 7, 9, 19, 21}
{3, 5, 7, 11, 13, 15}
{3, 5, 7, 17, 19, 21}
{3, 5, 8, 9, 11, 13}
{3, 5, 8, 9, 11, 14}
{3, 5, 8, 9, 13, 14}
{3, 5, 8, 9, 17, 19}
{3, 5, 8, 9, 17, 20}
{3, 5, 8, 9, 19, 20}
{3, 5, 8, 11, 13, 14}
{3, 5, 8, 17, 19, 20}
{3, 5, 11, 13, 20, 21}
{3, 5, 11, 14, 19, 21}
{3, 5, 11, 15, 19, 20}
{3, 5, 13, 14, 17, 21}
{3, 5, 13, 15, 17, 20}
{3, 5, 14, 15, 17, 19}
{3, 6, 7, 9, 11, 12}
{3, 6, 7, 9, 11, 15}
{3, 6, 7, 9, 12, 15}
{3, 6, 7, 9, 17, 18}
{3, 6, 7, 9, 17, 21}
{3, 6, 7, 9, 18, 21}
{3, 6, 7, 11, 12, 15}
{3, 6, 7, 17, 18, 21}
{3, 6, 8, 9, 11, 12}
{3, 6, 8, 9, 11, 14}
{3, 6, 8, 9, 12, 14}
{3, 6, 8, 9, 17, 18}
{3, 6, 8, 9, 17, 20}
{3, 6, 8, 9, 18, 20}
{3, 6, 8, 11, 12, 14}
{3, 6, 8, 17, 18, 20}
{3, 6, 11, 12, 20, 21}
{3, 6, 11, 14, 18, 21}
{3, 6, 11, 15, 18, 20}
{3, 6, 12, 14, 17, 21}
{3, 6, 12, 15, 17, 20}
{3, 6, 14, 15, 17, 18}
{3, 7, 8, 9, 11, 12}
{3, 7, 8, 9, 11, 13}
{3, 7, 8, 9, 12, 13}
{3, 7, 8, 9, 17, 18}
{3, 7, 8, 9, 17, 19}
{3, 7, 8, 9, 18, 19}
{3, 7, 8, 11, 12, 13}
{3, 7, 8, 17, 18, 19}
{3, 7, 11, 12, 19, 21}
